/modelblob/v-hanchenpei/benchmark_results/SpeechEdit_ablation/emotion_easy_task/vocos/asv_wavlm_large_metrics_asv_dnsmos_sort_asv_sampling_topp_0.2_20260104_checkpoint_5_610000.pt
0.wav	[0.32416442036628723, 0.26587629318237305, 0.2469620704650879, 0.2180456966161728, 0.17609064280986786]	[3.8045225143432617, 4.171141624450684, 4.049232006072998, 3.8413119316101074, 4.067211627960205]
1.wav	[0.3779795169830322, 0.3711055815219879, 0.31831440329551697, 0.31741273403167725, 0.2947934567928314]	[4.229061603546143, 4.070666790008545, 4.017184734344482, 4.008606433868408, 4.106800556182861]
2.wav	[0.4038645625114441, 0.40379995107650757, 0.38109123706817627, 0.32292941212654114, 0.2713581323623657]	[4.137354373931885, 4.145599365234375, 4.437322616577148, 3.8814055919647217, 4.092360019683838]
3.wav	[0.46945661306381226, 0.44278010725975037, 0.3362728953361511, 0.33046555519104004, 0.2920560836791992]	[4.112279891967773, 4.037192344665527, 4.058460235595703, 3.9616994857788086, 4.183460235595703]
4.wav	[0.4611441493034363, 0.4580034911632538, 0.4008066952228546, 0.386796236038208, 0.24157308042049408]	[4.099534511566162, 3.772514820098877, 4.0566325187683105, 4.107905864715576, 3.8835084438323975]
5.wav	[0.44375282526016235, 0.4097254276275635, 0.39721018075942993, 0.32895779609680176, 0.309326708316803]	[4.072348594665527, 3.8820290565490723, 3.8848140239715576, 3.7952077388763428, 3.8111767768859863]
6.wav	[0.29884570837020874, 0.29579871892929077, 0.2938356399536133, 0.23682498931884766, 0.1354425847530365]	[3.85237717628479, 3.6454124450683594, 3.432699203491211, 4.206371307373047, 3.688408613204956]
7.wav	[0.4405725598335266, 0.4223189651966095, 0.37006711959838867, 0.34004920721054077, 0.23420357704162598]	[4.035192966461182, 3.746697187423706, 4.170105934143066, 3.847069025039673, 4.00356388092041]
8.wav	[0.33705413341522217, 0.28572407364845276, 0.27684736251831055, 0.16516226530075073, 0.13575419783592224]	[3.8328146934509277, 3.6406562328338623, 3.7777066230773926, 4.19086217880249, 4.055641174316406]
9.wav	[0.4623996615409851, 0.4156736731529236, 0.403079092502594, 0.36380550265312195, 0.3348369598388672]	[3.9731717109680176, 3.9344868659973145, 3.7888119220733643, 3.960376024246216, 4.089619159698486]
