/modelblob/v-hanchenpei/benchmark_results/SpeechEdit_atten_hybird/emotion_easy_task/vocos/asv_wavlm_large_metrics_asv_dnsmos_sort_asv_sampling_topp_0.5_20251230_checkpoint_3_560000.pt
0.wav	[0.43522438406944275, 0.2998313009738922, 0.2975425720214844, 0.2823663055896759, 0.2677849233150482]	[4.035914421081543, 4.160811901092529, 3.7552475929260254, 4.0644121170043945, 3.9539577960968018]
1.wav	[0.25952571630477905, 0.252316951751709, 0.25064992904663086, 0.22974584996700287, 0.21571141481399536]	[3.994913101196289, 3.9685323238372803, 4.125589847564697, 3.7562737464904785, 3.999130964279175]
2.wav	[0.5412299633026123, 0.4056750237941742, 0.39509642124176025, 0.27648675441741943, 0.25945940613746643]	[3.9567456245422363, 4.059061050415039, 3.9996609687805176, 4.022080421447754, 3.81347918510437]
3.wav	[0.4711771309375763, 0.39238226413726807, 0.27408769726753235, 0.2428077757358551, 0.1685488224029541]	[4.159246921539307, 3.934906244277954, 4.212893486022949, 3.764838218688965, 3.961022138595581]
4.wav	[0.4337048828601837, 0.41510266065597534, 0.38206666707992554, 0.34806352853775024, 0.30970168113708496]	[3.9481358528137207, 3.476057291030884, 3.9180562496185303, 3.6903491020202637, 4.063394069671631]
5.wav	[0.40647295117378235, 0.34314632415771484, 0.3393419086933136, 0.3265834450721741, 0.27754729986190796]	[3.620063304901123, 3.846712112426758, 3.9174585342407227, 3.879018783569336, 3.769725799560547]
6.wav	[0.35145971179008484, 0.3484456539154053, 0.2835167944431305, 0.27221041917800903, 0.1995357722043991]	[3.158984661102295, 3.5761351585388184, 3.7526988983154297, 3.899925708770752, 3.911139488220215]
7.wav	[0.3902883529663086, 0.19031593203544617, 0.17472517490386963, 0.1508081555366516, 0.13125984370708466]	[3.8629119396209717, 3.7787559032440186, 3.4515914916992188, 3.864501714706421, 3.6756370067596436]
8.wav	[0.49050647020339966, 0.42131930589675903, 0.3459397852420807, 0.3408471643924713, 0.33401137590408325]	[3.396635055541992, 3.8402230739593506, 3.9287681579589844, 3.6871800422668457, 3.974367141723633]
9.wav	[0.5485432147979736, 0.45596063137054443, 0.3943691849708557, 0.39420461654663086, 0.2790060043334961]	[3.9561662673950195, 4.11937952041626, 3.972681760787964, 3.978639841079712, 3.2721662521362305]
10.wav	[0.3830799460411072, 0.37902939319610596, 0.29136380553245544, 0.2500465512275696, 0.18742820620536804]	[3.398479700088501, 3.958946943283081, 3.7988367080688477, 3.8107945919036865, 3.52935528755188]
11.wav	[0.3333466053009033, 0.31577160954475403, 0.25596749782562256, 0.22714155912399292, 0.12500272691249847]	[3.8989133834838867, 3.796689033508301, 3.7931301593780518, 4.107754230499268, 3.7731995582580566]
12.wav	[0.43051639199256897, 0.4031839966773987, 0.3409620523452759, 0.29233139753341675, 0.23801735043525696]	[3.654705047607422, 4.11671781539917, 3.3612403869628906, 4.420738697052002, 3.5981404781341553]
13.wav	[0.4013437032699585, 0.3819933533668518, 0.34862247109413147, 0.30879682302474976, 0.26086559891700745]	[3.8757567405700684, 3.9439239501953125, 3.92462420463562, 3.9846479892730713, 3.8945705890655518]
